"STATION","species1","species2","overlap"
"VINS","DOWO","HAWO",0.569088178584352
"VINS","DOWO","TRFL",0.375484682122118
"VINS","DOWO","LEFL",0.0584866388234014
"VINS","DOWO","WEVI",4.01318796822859e-11
"VINS","DOWO","BEVI",1.19088941274389e-16
"VINS","DOWO","CACH",0.566892720524692
"VINS","DOWO","TUTI",0.137204364069375
"VINS","DOWO","CARW",0.320468673093997
"VINS","DOWO","BGGN",0.00211613954903759
"VINS","DOWO","GRCA",0.00279345989685065
"VINS","DOWO","BRTH",0.833877614050445
"VINS","DOWO","BAWW",2.11052616138723e-16
"VINS","DOWO","PROW",3.1458187766927e-09
"VINS","DOWO","KEWA",0.61706701769352
"VINS","DOWO","MOWA",0.596810368161703
"VINS","DOWO","COYE",0.664070586362855
"VINS","DOWO","YBCH",0.8439118233378
"VINS","DOWO","FISP",1.85324488574701e-06
"VINS","DOWO","NOCA",0.0476601620948717
"VINS","DOWO","INBU",0.402625551694638
"VINS","DOWO","PABU",0.616426247858937
"VINS","DOWO","DICK",1.83214462752818e-08
"VINS","DOWO","RWBL",0.697668285645455
"VINS","DOWO","BHCO",0.0200592298610016
"VINS","DOWO","OROR",0.869606942548869
"VINS","DOWO","AMGO",0.0061905980559739
"VINS","HAWO","TRFL",0.719697579313398
"VINS","HAWO","LEFL",0.166333819506113
"VINS","HAWO","WEVI",9.96246304755676e-17
"VINS","HAWO","BEVI",1.36185977635576e-16
"VINS","HAWO","CACH",0.858962365239338
"VINS","HAWO","TUTI",0.0236745545226279
"VINS","HAWO","CARW",0.663599235231986
"VINS","HAWO","BGGN",1.1919156410524e-05
"VINS","HAWO","GRCA",2.43511126234577e-05
"VINS","HAWO","BRTH",0.490407432149843
"VINS","HAWO","BAWW",1.02806457639432e-16
"VINS","HAWO","PROW",2.17256768716389e-11
"VINS","HAWO","KEWA",0.300094663758145
"VINS","HAWO","MOWA",0.293544893393493
"VINS","HAWO","COYE",0.715788599934861
"VINS","HAWO","YBCH",0.677241141090061
"VINS","HAWO","FISP",2.00579628345697e-12
